"smiles","actual"
"C[C@H](NC(=O)Nc1cccc(C(F)(F)F)c1)C(=O)O",0.0628800000000034
"COc1cc(CNC(C)(C)CO)ccc1OCC(=O)NC(C)(C)C",0.606580000000001
"Cc1cc(=O)[nH]c(NN=C2C3CC4CC(C3)CC2C4)n1",-1.07732
"CCCCNC(=S)N(CCN(CC)CC)Cc1cc2cc3c(cc2[nH]c1=O)OCCO3",-1.01182
"COC(=O)C1=C(C)NC(=O)NC1c1ccsc1",0.678080000000001
"Cn1c(=O)c2c(nc(N3CCOCC3)n2CCSc2ncccn2)n(C)c1=O",0.639380000000003
"O=C(NCc1ccco1)c1cccnc1Cl",1.19098
"CC(C)(C)C(=O)N1CCC(O)(CS(=O)(=O)Cc2ccccc2Cl)CC1",-1.96082
"CC(=O)NC(C(=O)NCC(N)=O)C(C)C",1.56248
"COc1ccc(OCCN(C)CC(=O)Nc2ccccc2SC)cc1",-1.97172
"COc1nc(NCCO)nc(Nc2cc(Cl)ccc2OC)n1",-0.477519999999998
"CC1CN(C(=O)c2c(Br)cnn2C)CC(C)O1",0.855680000000003
"COC(=O)c1cc(S(=O)(=O)N(C)Cc2ccco2)c[nH]1",-0.616919999999997
"COc1cc(NC(=O)C2=CC(c3cccs3)=NS(=O)(=O)N2C)cc(OC)c1OC",-1.96112
"O=C(NN=C1C2CC3CC(C2)CC1C3)c1cccc(S(=O)(=O)N2CCOCC2)c1",0.585880000000003
"O=[N+]([O-])/C=C1\NCCN1Cc1ccc(Cl)nc1",-0.134719999999998
"Cc1c(C)c2cc3c4c(oc3c(C)c2oc1=O)CCCC4",1.95598
"CCc1ccc(NC(=O)CCc2nc3ccccc3[nH]2)cc1",-1.85172
"CCOC(=O)c1[nH]c2ccccc2c1NC(=O)c1ccco1",0.716280000000001
"O=C(Nc1cc(S(=O)(=O)N2CCOCC2)ccc1N1CCOCC1)c1ccc(S(=O)(=O)N2CCCCC2)cc1",-1.72402
"Cc1sc(-c2ccncc2)nc1OC(=O)c1ccccc1",-0.792219999999997
"COc1ccc(CCn2c(=O)[nH]c3cc(C(=O)NCCN4CCOCC4)ccc3c2=O)cc1OC",0.353180000000002
"O=C(NC1(C(F)(F)F)NC(=O)N(CCc2ccccc2)C1=O)C1CC1",1.57318
"C/C=C/C(=O)OCc1csc(CC(=O)Nc2ccccc2C)n1",0.284880000000001
"O=C(NCc1ccc(-c2nc3ccccc3s2)cc1)c1ccco1",-1.39282
"CCC(CC)C(=O)c1c[nH]c(C(=O)NCc2ccccc2)c1",0.153380000000002
"CC1CCCN(CC(O)COCc2ccccc2)C1.Cl",-1.06582
"COCCNC(=O)NC(=O)COC(=O)c1cccn1C",-1.24352
"O=C(CN1C(=O)NC2(CCCC2)C1=O)Nc1cc(C(F)(F)F)ccc1N1CCCCC1",-0.754019999999997
"Cc1ccc(SCC(=O)OCC(=O)N(CCC#N)c2ccccc2)cc1",-0.052819999999997
"O=C(O)/C(=C\c1cccs1)c1ccccc1",0.0047800000000037
"COc1ccc(C(=O)Nc2ccc(NC(=O)c3cnccn3)cn2)cc1",1.87688
"CCOC(=O)/C(C#N)=C/c1c[nH]c2ccccc12",-0.909319999999998
"NS(=O)(=O)c1cc(C(=O)OCC(=O)c2ccc3c(c2)OCCO3)ccc1Cl",-0.0168199999999992
"CCc1nnc(NC(=O)CN2C(=O)/C(=C/c3cc(OC)c(OC)c(OC)c3)SC2=S)s1",-0.870019999999997
"CC(CNC(=O)c1ccc(Br)o1)NC(=O)c1ccc(Br)o1",-0.675919999999998
"COc1ccc(NC(=O)CNc2cccc(C#N)c2)cc1Cl",-1.89362
"CCn1c(SCC(=O)NC2CC2)nnc1-c1ccc(C)cc1",1.36178
